Cluster,0,1,2,3,4,5,6,7,8,9
0,0.46437635116073256,2.0346742488383933,2.206860651483707,2.084632350240353,0.006419543178930128,1.0484842155554548,0.6339458003907275,2.599758311419883,2.128960281853973,1.2523867175027077
1,-0.20380046376280134,-0.2393741288049364,-0.18921397876786306,-0.08680023443348124,-0.03142824960766842,-0.1667419059644598,-0.031001544482423538,-0.16280283473505394,-0.07441852447209406,-0.1412447734996158
2,3.6199419991854276,1.4383688089867654,-0.033701246996154295,-0.42722395706476596,-0.14868414969687258,1.569809075259926,1.1852461963767027,0.5811860175393105,-0.0999920869897468,0.7796095387634849
3,0.7376679371743132,0.31856640228384997,2.6265188853121515,-0.16056271126104635,15.059754141746064,2.3260246484519795,0.9719785572943233,1.1673620433251077,0.7827967590841258,1.9856765724793843
4,-0.4211253811699655,-0.5290509174473639,-0.6644552067265517,-0.39306369711061967,-0.15744784861942338,-0.5346391183350856,-0.4285736878120139,-0.5579400937542738,-0.4693261050286773,-0.4632793345241055
5,-0.07595922778017986,0.2401847764354178,1.5649738560170317,0.07388227475143207,0.26541566470709116,0.32428235191445376,0.23466000333820822,0.14609364413058953,0.061933607012725184,0.22185091736249607
6,1.034505556402429,5.3010896969829275,2.0179116957845924,6.158612989189699,0.16781664454125367,0.8978686187822336,0.8087242201846405,4.77458152851964,5.096464552014249,2.845931873743388
7,0.842160477259847,0.13188011908960479,0.9098135312460953,-0.18653072755383437,-0.06034743468205559,2.217113748171073,0.5351024221626006,0.8725351523269492,1.3272042860820434,11.160532737203807
8,0.4318193571173964,0.15981951894695173,-0.09592673691900112,-0.4017563560632429,0.0702277352535391,6.253647783955185,1.1692428810558277,0.6294668943836025,0.2350132432143861,-0.19834290994330997
9,8.256340984105217,3.4113750550991337,3.026491100665224,-0.3446566380926331,-0.07347100830567359,8.898318630566164,22.34189605769143,3.9607962769881127,4.155963976889865,2.2992690381093994
